Image,Latitude,Longitude,Date
01932,-37.685678152777776,144.923441889,2017-02-22
01933,-37.68581667188889,144.92456057566665,2017-02-22
01934,-37.6850873955,144.9189756961389,2017-02-22
01935,-37.68524640113888,144.92009006427776,2017-02-22
01936,-37.68090686163889,144.89255025133332,2017-02-22
01937,-37.68083718683333,144.89141843716666,2017-02-22
01938,-37.68081304569444,144.90146746997223,2017-02-22
01939,-37.68076496858333,144.90033772055557,2017-02-22
01940,-37.68932635747222,144.95592388102776,2017-02-22
01941,-37.68097175483333,144.89525659469444,2017-02-22
01942,-37.68919957041666,144.95480610983333,2017-02-22
01943,-37.680932797,144.89638505502776,2017-02-22
01944,-37.68639896630555,144.92925714330553,2017-02-22
01945,-37.686259245555554,144.92813883680554,2017-02-22
01946,-37.68559527405555,144.92277143049998,2017-02-22
01947,-37.685455991999994,144.9216530118611,2017-02-22
01948,-37.68811688175,144.94425547172222,2017-02-22
01949,-37.68063965277778,144.88870820333332,2017-02-22
01950,-37.688225896249996,144.9453769244722,2017-02-22
01951,-37.680727835805556,144.88983817872221,2017-02-22
01952,-37.6815400745,144.90838978505556,2017-02-22
01953,-37.68136794775,144.90728718422224,2017-02-22
01954,-37.68720484047222,144.9358534998611,2017-02-22
01955,-37.687071658222216,144.93473531855557,2017-02-22
01956,-37.68179845783333,144.91015504711112,2017-02-22
01957,-37.68163848922222,144.90904810827777,2017-02-22
01958,-37.68861960819444,144.94953797166667,2017-02-22
01959,-37.688518966,144.94841225613888,2017-02-22
01960,-37.68452647808333,144.91567269158335,2017-02-22
01961,-37.684180730916665,144.9146310033889,2017-02-22
01962,-37.68661660425,144.93104726863888,2017-02-22
01963,-37.686479094027774,144.92992890388888,2017-02-22
01964,-37.68087540230555,144.89796720983333,2017-02-22
01965,-37.68083700558333,144.89909647049998,2017-02-22
01966,-37.68352637308333,144.91356314016667,2017-02-22
01967,-37.68111293283333,144.9051788168889,2017-02-22
01968,-37.68281370822222,144.91286175044445,2017-02-22
01969,-37.68123104008333,144.90629280580555,2017-02-22
01970,-37.688436671666665,144.94751149772222,2017-02-22
01971,-37.68832267119444,144.94638899875,2017-02-22
01972,-37.68519862647222,144.91975560038887,2017-02-22
01973,-37.68535719041666,144.92087042852776,2017-02-22
01974,-37.685776855222215,144.92422393869444,2017-02-22
01975,-37.687451167805555,144.93786530472224,2017-02-22
01976,-37.68591197369444,144.92534492908334,2017-02-22
01977,-37.687313358999994,144.9367479481389,2017-02-22
01978,-37.68772894591666,144.94078831525002,2017-02-22
01979,-37.68760877969444,144.93966560805555,2017-02-22
